Catalog Number,Material,Material Description,Sales Unit,Delivery unit
351,920669301,Drilling template MultiBlue for hinges,PCE,1
10067,10067,COVER CAP-NEUTRAL- PU50 RAL7048  BN04464,PCE,50
10083,922538100,WINGLINE 230 SET LEFT,PCE,1
10083,922538101,WINGLINE 230 SET LEFT,PCE,1
10084,922538400,WING LINE 230 SET RIGHT,PCE,1
10084,922538401,WING LINE 230 SET RIGHT,PCE,1
10085,10085,SPS 4X16        SE PZ VN ST,PCE,200
10573,930952400,Drilljig Accura hole line System 32,PCE,1
10921,929690800,LIFT 80-220N 90°,SET,10
13129,936070200,SHELF SUPP.VARI 16 CHROME,PCE,250
13141,932981400,MAGN.CATCH M72/GP2 WHITE,PCE,50
13317,900565101,IT ORGATRAY 560 D520 W600 SILVER,PCE,1
13392,910660100,Practica InnoTech,PCE,1
13841,13841,Drilljig  Accura for Hinge+Mountingpl.,PCE,1
13890,13890,ARENA CLIP-ON SHELVES CH/W,PCE,1
13907,908344100,ARE.HANG-IN SHELF DISP.300,EA,1
13908,908349800,ARE.HANG-IN SHELF DISP.400,EA,1
13952,13952,IT/IA SPACER PROFILE 25mm white,PCE,1
13962,905659902,RASTEX 15/18 D-BL-FA1502,PCE,2000
13962,905659904,RASTEX 15/18 D-BL-FA1502,PCE,2000
14825,14825,V-Set Rail drilljig Exakta 1000 mm,PCE,1
14826,14826,V-Set Rail drilljig Exakta 2000 mm,PCE,1
16180,16180,Shelf Supp.Safety 5mm Cl.,PCE,500
16181,16181,PLUG-IN SHELF SUPP.W.SH.C,PCE,500
20053,20053,RASTEX 15/12 WO.RIM NAT.,PCE,200
20060,20060,"Twister DU262T DB6X11 S24,5 VZ",PCE,200
20157,20157,"Twister DU644T M6X7,8 S30 VZ",PCE,200
20165,20165,DrillJig hinges,PCE,1
20166,20166,DrillJig VB for connecting fittings,PCE,1
20266,20266,"BMM T2/6  230V/50Hz/0,8kW/1P plugHAU",PCE,1
20400,20400,VS COVER PR.2500MM ALU/SI,PCE,100
20490,20490,BMM T2/6 Drill set hinge,PCE,1
20687,20687,Drill 10 mm for drilljig VB/Hinge,PCE,1
20688,20688,Drill 35 mm for DrillJig Hinge,PCE,1
20689,20689,Allen Head Screw DrillJig VB/hinge,PCE,1
20695,20695,Hexag.driver DrillJig VB/hinge,PCE,1
20782,20782,SHELF SUPP. 5MM CHROM,PCE,500
22617,22617,Drilljig Exakta,PCE,1
22737,932565200,SHELF SUPP.UNIVERSAL D NI,PCE,500
23680,930952200,Marking pin drilljig Accura HE63429,PCE,1
24832,24832,Euro-Angle Sys32 St-Chrome,PCE,200
24908,921196100,GTS 5150 NICKEL-MAT,SET,20
25048,25048,DOOR BUMPER WHITE,PCE,1000
25084,25084,AVB 5/65 STEEL-BRIGHT,PCE,50
25090,912741900,Shelf Supp.Safety 5mm Wh,PCE,500
25100,932565300,Sekura 2 Shelf Peg 5mm nickel,PCE,500
25119,25119,Guid.Peg STB 35 Brown,PCE,100
25120,25120,Slide Line55 Pr.4000 White,PCE,30
25121,25121,SLIDE LINE 55 4000MM BROWN,PCE,30
25122,25122,SLIDE LINE 55 RUNNER BROWN 33,PCE,100
